Hprev,Cprev,Deaths,output,replicate
14.7142857142857,57.4285714285714,4713,56,1
15.5714285714286,40.4285714285714,4758,56,2
13.5714285714286,41.8571428571429,4746,56,3
10.4285714285714,49.7142857142857,4750,56,4
15.4285714285714,54.1428571428571,4721,56,5
13.0,68.2857142857143,4762,56,6
17.0,45.5714285714286,4768,56,7
3.71428571428571,28.8571428571429,4683,56,8
30.2857142857143,62.4285714285714,4693,56,9
17.7142857142857,53.4285714285714,4658,56,10
20.7142857142857,61.0,4695,56,11
20.8571428571429,66.5714285714286,4731,56,12
14.2857142857143,50.2857142857143,4772,56,13
29.8571428571429,59.4285714285714,4608,56,14
26.1428571428571,71.8571428571429,4695,56,15
10.8571428571429,66.7142857142857,4666,56,16
20.5714285714286,77.4285714285714,4745,56,17
22.7142857142857,75.1428571428571,4733,56,18
13.1428571428571,60.8571428571429,4716,56,19
30.5714285714286,86.8571428571429,4745,56,20
25.0,71.4285714285714,4090,57,1
28.1428571428571,62.4285714285714,4102,57,2
56.2857142857143,90.4285714285714,3626,57,3
37.1428571428571,109.285714285714,4019,57,4
34.1428571428571,68.1428571428571,4103,57,5
39.5714285714286,75.8571428571429,3779,57,6
40.4285714285714,79.4285714285714,3855,57,7
45.4285714285714,88.7142857142857,4042,57,8
39.8571428571429,82.4285714285714,4023,57,9
48.2857142857143,93.7142857142857,3823,57,10
38.5714285714286,88.2857142857143,3872,57,11
19.4285714285714,79.5714285714286,4036,57,12
36.1428571428571,87.8571428571429,4036,57,13
32.2857142857143,87.1428571428571,4039,57,14
52.8571428571429,66.8571428571429,3810,57,15
37.7142857142857,92.0,3888,57,16
45.0,106.714285714286,3884,57,17
33.7142857142857,72.0,4093,57,18
16.8571428571429,48.8571428571429,4155,57,19
38.2857142857143,97.0,3865,57,20
87.2857142857143,130.285714285714,2743,58,1
108.571428571429,125.428571428571,2656,58,2
78.2857142857143,123.857142857143,2824,58,3
61.2857142857143,102.428571428571,2990,58,4
60.1428571428571,105.142857142857,2922,58,5
83.8571428571429,115.285714285714,2782,58,6
62.1428571428571,102.428571428571,3099,58,7
90.2857142857143,125.142857142857,2771,58,8
59.7142857142857,124.428571428571,2877,58,9
59.2857142857143,105.142857142857,2943,58,10
43.7142857142857,79.4285714285714,3293,58,11
150.142857142857,169.0,2631,58,12
109.428571428571,135.571428571429,2700,58,13
59.4285714285714,85.1428571428571,3038,58,14
105.285714285714,130.142857142857,2695,58,15
51.5714285714286,104.428571428571,3041,58,16
54.0,93.4285714285714,2997,58,17
41.1428571428572,87.8571428571429,3140,58,18
53.4285714285714,86.0,3226,58,19
47.5714285714286,92.8571428571429,3211,58,20
263.571428571429,213.0,1995,59,1
170.857142857143,150.0,2145,59,2
203.714285714286,155.285714285714,2107,59,3
500.857142857143,255.285714285714,1772,59,4
161.714285714286,170.857142857143,2074,59,5
92.1428571428571,128.142857142857,2315,59,6
315.285714285714,214.428571428571,2030,59,7
113.0,124.571428571429,2287,59,8
106.428571428571,145.857142857143,2259,59,9
130.285714285714,161.714285714286,2258,59,10
907.571428571429,230.714285714286,1088,59,11
135.142857142857,147.857142857143,2232,59,12
248.0,178.571428571429,2047,59,13
275.0,204.857142857143,1974,59,14
841.142857142857,298.428571428571,1382,59,15
130.142857142857,142.428571428571,2167,59,16
96.2857142857143,119.142857142857,2280,59,17
680.571428571429,274.142857142857,1584,59,18
686.714285714286,272.142857142857,1562,59,19
294.285714285714,189.428571428571,2049,59,20
486.857142857143,216.0,1394,60,1
560.0,208.857142857143,1166,60,2
588.571428571429,224.571428571429,1086,60,3
557.428571428572,157.285714285714,697,60,4
527.0,144.285714285714,512,60,5
513.0,210.142857142857,1252,60,6
610.714285714286,186.714285714286,962,60,7
470.571428571429,104.428571428571,420,60,8
623.0,208.571428571429,1019,60,9
549.571428571429,170.714285714286,706,60,10
612.142857142857,159.142857142857,957,60,11
486.142857142857,130.0,491,60,12
393.285714285714,74.8571428571429,316,60,13
622.428571428571,136.142857142857,672,60,14
547.142857142857,195.428571428571,1262,60,15
675.142857142857,203.0,894,60,16
339.857142857143,194.428571428571,1527,60,17
595.285714285714,199.142857142857,1215,60,18
479.142857142857,110.714285714286,525,60,19
613.0,150.571428571429,674,60,20
